car_id,make,model,year,mileage,fuel_type,transmission,engine_power,body_type,price
900501006,Peugeot,308,2015,101129,Diesel,M,88,H,180000
900489474,Ford,Tourneo Courier,2016,125680,Benzín,M,74,P,160000
900498036,Hyundai,i30,2012,135004,Benzín,M,73,H,160000
900498909,Opel,Meriva,2015,145563,Benzín,M,103,MPV,150000
900484759,BMW,3,2011,194260,Diesel,M,85,C,135000
900501748,Ford,Mondeo,2010,201205,Benzín,A,149,C,130000
900502500,Citroen,C-Elysee,2014,62290,Benzín,M,85,S,130000
900502884,Nissan,Qashqai,2007,167663,Benzín,M,84,SUV,130000
900505467,Škoda,Octavia,2006,144642,Diesel,M,77,H,130000
900500689,Škoda,Octavia,2011,181268,Diesel,M,77,C,120000
900501787,Škoda,Octavia,2012,254910,Diesel,M,77,H,110000
900500385,Škoda,Octavia,2010,285476,Diesel,M,77,H,100000
900503263,Škoda,Octavia,2010,332109,Diesel,M,77,C,100000
900504020,Ford,Fiesta,2003,154386,Benzín,M,59,H,20000
900503690,Škoda,Karoq,2021,40974,Diesel,A,85,SUV,560000
900500176,Mercedes-Benz,A,2019,162814,Benzín,A,140,H,520000
300143957,Kia,Ceed,2022,29441,Benzín,M,74,C,369000
500036834,Peugeot,3008,2020,22168,Benzín,M,96,SUV,400000
900500921,Hyundai,i30,2022,60646,Benzín,M,88,C,370000
900480821,Škoda,Scala,2021,49714,Benzín,M,81,H,330000
900506719,Nissan,Qashqai,2017,61838,Benzín,A,85,SUV,330000
900496379,Nissan,Qashqai,2015,52941,Benzín,M,85,SUV,300000
900491994,Škoda,Rapid,2019,97142,Benzín,M,81,H,260000
900505025,Volkswagen,Passat,2013,196706,Diesel,M,103,C,200000
900504011,Škoda,Rapid,2016,168521,Diesel,M,85,H,200000
900492861,Škoda,Octavia,2016,181772,Diesel,M,81,C,190000
900498918,Volkswagen,Passat,2013,293244,Diesel,M,103,C,175000
900499448,Volkswagen,Passat,2012,254022,Diesel,M,103,C,170000
900508173,Hyundai,i30,2017,106873,Benzín,M,88,C,180000
900490787,Škoda,Rapid,2013,139188,Diesel,M,77,H,160000
900484613,Mercedes-Benz,C,2010,190210,Benzín,A,115,C,150000
700164196,Peugeot,301,2015,223411,Diesel,M,73,S,100000
900501645,Ford,Mondeo,2008,174783,Diesel,M,129,C,130000
900505361,Škoda,Octavia,2010,225742,Diesel,M,77,C,95000
900496539,Škoda,Octavia,2011,200486,Diesel,M,77,C,100000
900469152,Hyundai,Tucson,2024,10803,Benzín,M,118,SUV,580000
300143570,Škoda,Octavia,2021,43586,Benzín,M,110,C,474000
900495386,Suzuki,Vitara,2022,18200,Benzín,M,95,SUV,450000
900491194,Škoda,Kamiq,2021,30842,Benzín,M,81,SUV,450000
900499936,Hyundai,i30,2023,25663,Benzín,A,88,C,440000
900493977,Volkswagen,Touran,2019,145688,Diesel,A,85,MPV,390000
900497120,Škoda,Scala,2023,18060,Benzín,M,81,H,390000
900503962,Hyundai,i30,2021,79924,Benzín,M,117,C,390000
900493773,Volkswagen,Touran,2019,198596,Diesel,A,110,MPV,370000
900502951,Opel,Crossland,2021,33795,Benzín,M,81,SUV,340000
900505839,Hyundai,i30,2020,30550,Benzín,M,81,C,340000
900507408,Hyundai,i30,2021,151119,Benzín,M,117,C,300000
900498110,Renault,Megane,2018,71679,Benzín,M,97,C,283000
900504887,Opel,Mokka,2015,98469,Benzín,A,103,SUV,270000
900507987,Dacia,Duster,2016,51020,Benzín,M,92,SUV,250000
900508614,Hyundai,i30,2020,116211,Benzín,M,73,C,240000
900508617,Škoda,Octavia,2015,153210,Diesel,A,77,C,220000
1010011224,Škoda,Octavia,2014,170034,Benzín,M,77,C,200000
900506796,Ford,Focus,2012,188370,Benzín,M,184,H,210000
900488576,Škoda,Rapid Spaceback,2017,94227,Benzín,M,70,H,180000
900482771,Škoda,Fabia,2017,146906,Diesel,M,66,C,170000
900501046,Renault,Megane,2014,101773,Diesel,M,96,C,170000
900502523,Volvo,V60,2015,266596,Diesel,M,84,C,150000
900490072,Volkswagen,Caddy,2010,242373,Diesel,M,75,P,140000
900506348,Toyota,Auris,2011,177103,Benzín,M,97,H,140000
900486948,Škoda,Octavia,2015,267210,Diesel,M,66,C,135000
900499414,Škoda,Rapid Spaceback,2015,179001,Diesel,M,66,H,130000
900499666,Opel,Zafira Tourer,2012,260086,Diesel,M,96,MPV,130000
900505296,Peugeot,3008,2011,165079,Diesel,M,110,MPV,130000
900492932,Škoda,Octavia,2011,171040,Benzín,M,75,C,110000
900499215,Opel,Meriva,2013,186063,Benzín,M,74,MPV,110000
900489693,Škoda,Octavia,2009,251645,Diesel,M,77,C,90000
900506893,Škoda,Octavia,2009,253715,Benzín,M,75,C,90000
900341006,Škoda,Superb,2023,29125,Diesel,A,147,H,970000
900423653,Škoda,Superb,2024,26499,Diesel,A,147,S,930000
900387592,Škoda,Octavia,2024,32557,Diesel,A,147,C,830000
900393416,Citroen,Jumper,2023,70115,Diesel,M,121,V,600000
900498431,Hyundai,i30 Fastback,2020,48214,Mild-Hybrid (MHEV)Nejjednodušší forma hybridu. Pomáhá při rozjezdech nebo v nejnižších otáčkách.Benzín + Mild-Hybrid,A,118,H,440000
900498906,Peugeot,3008,2019,97564,Diesel,M,96,SUV,400000
900480796,Hyundai,i30,2021,50175,Benzín,M,88,C,300000
900499468,Mercedes-Benz,R,2008,179192,Benzín,A,285,MPV,280000
900497524,Škoda,Scala,2019,111144,Benzín,M,85,H,260000
900498133,Škoda,Scala,2021,163128,Benzín,M,81,H,260000
900508082,Nissan,Navara,2014,184752,Diesel,M,106,OFF,250000
900498842,Hyundai,i30,2018,90813,Benzín,M,88,C,250000
900482930,Škoda,Octavia,2017,207812,Diesel,M,85,C,220000
900492453,Volkswagen,Passat,2012,234454,Diesel,A,125,C,210000
900502807,Ford,Kuga,2012,191698,Diesel,A,103,SUV,210000
900502613,Škoda,Rapid,2019,177528,Benzín,M,81,H,200000
900489667,Škoda,Octavia,2013,212310,Diesel,A,110,H,180000
900502068,Škoda,Rapid Spaceback,2015,150346,Benzín,M,63,H,180000
900507918,Volkswagen,Passat,2013,241192,Diesel,A,103,C,180000
900483229,Škoda,Octavia,2013,191663,Diesel,M,77,C,170000
900503817,Volkswagen,Multivan,2006,382899,Diesel,M,128,B,160000
900504863,Hyundai,ix20,2012,91134,Benzín,M,66,MPV,160000
900496778,Škoda,Fabia,2014,152651,Diesel,M,66,C,135000
900497585,Renault,Megane,2012,127003,Benzín,M,81,H,120000
900493406,Nissan,X-Trail,2008,272574,Diesel,M,127,SUV,120000
900498528,Renault,Megane,2012,148592,Benzín,M,74,H,100000
900501323,Hyundai,Tucson,2006,120387,Diesel,M,83,SUV,100000
900493893,Škoda,Octavia,2009,244887,Diesel,M,77,C,90000
900452701,Ford,Ranger,2024,6326,Diesel,A,176,OFF,1350000
900419815,Ford,Tourneo Custom,2023,31767,Mild-Hybrid (MHEV)Nejjednodušší forma hybridu. Pomáhá při rozjezdech nebo v nejnižších otáčkách.Diesel + Mild-Hybrid,M,110,B,1080000
